"date","max.temp","min.temp","dwpt","month","year","day","dow","weekend","holiday","CO","O3","SO2","PM10","PM25","NO2","number.deaths","HI.max"
"1999-05-13",69.3815995968148,44.6362707789946,33.7920618714088,5,1999,13,4,0,0,1.30939984491097,0.0442972348611243,7.39335300466236,37,11.9934849328173,33.7132735980102,24,63
"1999-05-14",65.7455688720385,39.1816101328508,38.7369983158859,5,1999,14,5,0,0,1.39644990381747,0.036958424634574,11.7061218272001,34,8.56421844815166,31.3856652944021,18,63
"1999-05-15",69.1590251305372,38.8115773910448,39.6206594276094,5,1999,15,6,1,0,1.14140986251114,0.0458461970321572,12.9435745840844,19,6.05319541285751,35.19562389238,18,67
"1999-05-16",69.3085587961682,38.3075463491272,41.8014981980952,5,1999,16,0,1,0,1.30483546752006,0.0435273892629177,12.0092107174296,14,7.99591459113286,31.7696310497222,22,65
"1999-05-17",71.2736655726108,40.9087521831506,45.9091058179478,5,1999,17,1,0,0,1.35277215014931,0.0491527946186438,11.001977214884,30,8.40441681041585,29.8193489160336,30,69
"1999-05-18",70.1577203135275,46.8021260592629,55.7682596513505,5,1999,18,2,0,0,0.69657668508843,0.0335949158600846,11.0461284724396,22.0380494882183,6.4011154884791,26.8991750289425,27,71
"1999-05-19",69.8277030261253,54.6983031217026,59.9042786067356,5,1999,19,3,0,0,1.1220406645299,0.0301220747348672,7.85539481625237,26.7330552633621,5.83239396635335,24.0190214572009,18,69
"1999-05-20",69.7202184151885,56.6371883624942,54.4978386762396,5,1999,20,4,0,0,1.27180797490959,0.0375352849376353,4.77083863731546,24.2249659288034,4.33522609961494,25.0105919067221,32,69
"1999-05-21",74.2159391622096,46.8055723797888,43.4507409080022,5,1999,21,5,0,0,0.803331848122547,0.0461822182687023,10.6091814941413,22,5.13377335871556,43.5788498597772,20,75
"1999-05-22",75.1107318070063,47.3459044486209,49.1514040336673,5,1999,22,6,1,0,1.30201275067942,0.0442087755834751,10.8912458018364,19,9.39173347039815,37.3029450828266,18,70
